city,city_ascii,lat,lng,country
Tokyo,Tokyo,35.6897,139.6922,Japan
Jakarta,Jakarta,-6.1750,106.8275,Indonesia
Delhi,Delhi,28.6100,77.2300,India
Guangzhou,Guangzhou,23.1300,113.2600,China
Mumbai,Mumbai,19.0761,72.8775,India
Manila,Manila,14.5958,120.9772,Philippines
Shanghai,Shanghai,31.2286,121.4747,China
São Paulo,Sao Paulo,-23.5500,-46.6333,Brazil
Seoul,Seoul,37.5600,126.9900,"Korea, South"
Mexico City,Mexico City,19.4333,-99.1333,Mexico
Cairo,Cairo,30.0444,31.2358,Egypt
New York,New York,40.6943,-73.9249,United States
Dhaka,Dhaka,23.7639,90.3889,Bangladesh
Beijing,Beijing,39.9067,116.3975,China
Kolkāta,Kolkata,22.5675,88.3700,India
Bangkok,Bangkok,13.7525,100.4942,Thailand
Shenzhen,Shenzhen,22.5415,114.0596,China
Moscow,Moscow,55.7558,37.6172,Russia
Buenos Aires,Buenos Aires,-34.6033,-58.3817,Argentina
Lagos,Lagos,6.4550,3.3841,Nigeria
Istanbul,Istanbul,41.0136,28.9550,Turkey
Karachi,Karachi,24.8600,67.0100,Pakistan
Bangalore,Bangalore,12.9789,77.5917,India
Ho Chi Minh City,Ho Chi Minh City,10.7756,106.7019,Vietnam
Ōsaka,Osaka,34.6939,135.5022,Japan
Chengdu,Chengdu,30.6600,104.0633,China
Tehran,Tehran,35.6892,51.3889,Iran
Kinshasa,Kinshasa,-4.3219,15.3119,Congo (Kinshasa)
Rio de Janeiro,Rio de Janeiro,-22.9111,-43.2056,Brazil
Chennai,Chennai,13.0825,80.2750,India
Xi’an,Xi'an,34.2611,108.9422,China
Lahore,Lahore,31.5497,74.3436,Pakistan
Chongqing,Chongqing,29.5637,106.5504,China
Los Angeles,Los Angeles,34.1141,-118.4068,United States
Baoding,Baoding,38.8740,115.4640,China
London,London,51.5072,-0.1275,United Kingdom
Paris,Paris,48.8567,2.3522,France
Linyi,Linyi,35.1038,118.3564,China
Dongguan,Dongguan,23.0210,113.7520,China
Hyderābād,Hyderabad,17.3617,78.4747,India
Tianjin,Tianjin,39.1336,117.2054,China
Lima,Lima,-12.0600,-77.0375,Peru
Wuhan,Wuhan,30.5934,114.3046,China
Nanyang,Nanyang,32.9987,112.5292,China
Hangzhou,Hangzhou,30.2670,120.1530,China
Foshan,Foshan,23.0214,113.1216,China
Nagoya,Nagoya,35.1833,136.9000,Japan
Tongshan,Tongshan,34.2040,117.2840,China
Luanda,Luanda,-8.8383,13.2344,Angola
Zhoukou,Zhoukou,33.6250,114.6418,China
Ganzhou,Ganzhou,25.8310,114.9330,China
Kuala Lumpur,Kuala Lumpur,3.1478,101.6953,Malaysia
Heze,Heze,35.2343,115.4796,China
Quanzhou,Quanzhou,24.8744,118.6757,China
Johannesburg,Johannesburg,-26.2044,28.0456,South Africa
Chicago,Chicago,41.8375,-87.6866,United States
Nanjing,Nanjing,32.0608,118.7789,China
Jining,Jining,35.4151,116.5871,China
Hanoi,Hanoi,21.0000,105.8500,Vietnam
Pune,Pune,18.5203,73.8567,India
Fuyang,Fuyang,32.8900,115.8140,China
Ahmedabad,Ahmedabad,23.0225,72.5714,India
Bogotá,Bogota,4.7111,-74.0722,Colombia
Shenyang,Shenyang,41.8025,123.4281,China
Dar es Salaam,Dar es Salaam,-6.8161,39.2803,Tanzania
Khartoum,Khartoum,15.6000,32.5000,Sudan
Shangqiu,Shangqiu,34.4150,115.6560,China
Hong Kong,Hong Kong,22.3000,114.2000,Hong Kong
Cangzhou,Cangzhou,38.3047,116.8387,China
Riyadh,Riyadh,24.6333,46.7167,Saudi Arabia
Santiago,Santiago,-33.4372,-70.6506,Chile
Xingtai,Xingtai,37.0717,114.5048,China
Zhumadian,Zhumadian,33.0140,114.0220,China
Chattogram,Chattogram,22.3350,91.8325,Bangladesh
Surabaya,Surabaya,-7.2458,112.7378,Indonesia
Zhanjiang,Zhanjiang,21.2701,110.3575,China
Bijie,Bijie,27.2840,105.2920,China
Yancheng,Yancheng,33.3482,120.1626,China
Hengyang,Hengyang,26.8940,112.5720,China
Zunyi,Zunyi,27.7220,107.0310,China
Shaoyang,Shaoyang,27.2395,111.4679,China
Sūrat,Surat,21.1702,72.8311,India
Shangrao,Shangrao,28.4551,117.9431,China
Xinyang,Xinyang,32.1490,114.0910,China
Madrid,Madrid,40.4169,-3.7033,Spain
Baghdad,Baghdad,33.3153,44.3661,Iraq
Maoming,Maoming,21.6627,110.9255,China
Jieyang,Jieyang,23.5510,116.3727,China
Miami,Miami,25.7840,-80.2101,United States
Singapore,Singapore,1.3000,103.8000,Singapore
Houston,Houston,29.7860,-95.3885,United States
Liaocheng,Liaocheng,36.4559,115.9852,China
Huanggang,Huanggang,30.4537,114.8724,China
Dalian,Dalian,38.9000,121.6000,China
Dallas,Dallas,32.7935,-96.7667,United States
Qingdao,Qingdao,36.0669,120.3827,China
Yulin,Yulin,22.6540,110.1810,China
Douala,Douala,4.0500,9.7000,Cameroon
Qujing,Qujing,25.4910,103.7960,China
Nangandao,Nangandao,35.3036,113.9268,China
Philadelphia,Philadelphia,40.0077,-75.1339,United States
Pudong,Pudong,31.2347,121.5064,China
Toronto,Toronto,43.7417,-79.3733,Canada
Zhengzhou,Zhengzhou,34.7640,113.6840,China
Dezhou,Dezhou,37.4360,116.3590,China
Nanchong,Nanchong,30.8372,106.1106,China
Jinan,Jinan,36.6702,117.0207,China
Giza,Giza,29.9870,31.2118,Egypt
Nairobi,Nairobi,-1.2864,36.8172,Kenya
Guadalajara,Guadalajara,20.6767,-103.3475,Mexico
Ankara,Ankara,39.9300,32.8500,Turkey
Tai’an,Tai'an,36.2020,117.0870,China
Langfang,Langfang,39.5383,116.6835,China
Dazhou,Dazhou,31.2093,107.4678,China
Saint Petersburg,Saint Petersburg,59.9375,30.3086,Russia
Monterrey,Monterrey,25.6667,-100.3000,Mexico
Belo Horizonte,Belo Horizonte,-19.9167,-43.9333,Brazil
Suzhou,Suzhou,33.6333,116.9683,China
Yongzhou,Yongzhou,26.4200,111.6130,China
Changde,Changde,29.0310,111.6990,China
Xiangyang,Xiangyang,32.0100,112.1220,China
Rangoon,Rangoon,16.7950,96.1600,Burma
Atlanta,Atlanta,33.7628,-84.4220,United States
Washington,Washington,38.9047,-77.0163,United States
Zhaotong,Zhaotong,27.3380,103.7170,China
Zhangzhou,Zhangzhou,24.5130,117.6470,China
Melbourne,Melbourne,-37.8142,144.9631,Australia
Yichun,Yichun,27.8160,114.4170,China
Bozhou,Bozhou,33.8626,115.7742,China
Suqian,Suqian,33.9331,118.2831,China
Abidjan,Abidjan,5.3167,-4.0333,Côte d’Ivoire
Ji’an,Ji'an,27.0912,114.9668,China
Guilin,Guilin,25.2750,110.2960,China
Pingdingshan,Pingdingshan,33.7350,113.2999,China
Berlin,Berlin,52.5200,13.4050,Germany
Alexandria,Alexandria,31.1975,29.8925,Egypt
Mianyang,Mianyang,31.4680,104.6790,China
Sydney,Sydney,-33.8678,151.2100,Australia
Huanglongsi,Huanglongsi,34.7950,114.3450,China
Barcelona,Barcelona,41.3828,2.1769,Spain
Yuncheng,Yuncheng,35.0267,111.0070,China
Cape Town,Cape Town,-33.9253,18.4239,South Africa
Changsha,Changsha,28.2280,112.9390,China
Jeddah,Jeddah,21.5433,39.1728,Saudi Arabia
Weinan,Weinan,34.5206,109.4710,China
Chenzhou,Chenzhou,25.7700,113.0160,China
Jiangmen,Jiangmen,22.5789,113.0815,China
Jiujiang,Jiujiang,29.6610,115.9540,China
Xinpu,Xinpu,34.5966,119.2214,China
Yibin,Yibin,28.7520,104.6430,China
Huaihua,Huaihua,27.5698,110.0016,China
Yangzhou,Yangzhou,32.3912,119.4363,China
Taizhou,Taizhou,32.4567,119.9229,China
Kunming,Kunming,25.0464,102.7094,China
Yiyang,Yiyang,28.5549,112.3560,China
Changchun,Changchun,43.8970,125.3260,China
Lu’an,Lu'an,31.7360,116.5200,China
Jiangguanchi,Jiangguanchi,34.0244,113.8201,China
Meizhou,Meizhou,24.2890,116.1220,China
Ürümqi,Urumqi,43.8225,87.6125,China
Suzhou,Suzhou,31.3000,120.6194,China
Boston,Boston,42.3188,-71.0852,United States
İzmir,Izmir,38.4200,27.1400,Turkey
Guigang,Guigang,23.1120,109.5990,China
Shantou,Shantou,23.3540,116.6820,China
Kabul,Kabul,34.5253,69.1783,Afghanistan
Xiaoganzhan,Xiaoganzhan,30.9180,113.9570,China
Bamako,Bamako,12.6392,-8.0028,Mali
Luzhou,Luzhou,28.8710,105.4420,China
Hefei,Hefei,31.8206,117.2273,China
Hengshui,Hengshui,37.7390,115.6690,China
Fortaleza,Fortaleza,-3.7275,-38.5275,Brazil
Anqing,Anqing,30.5318,117.1153,China
Liuzhou,Liuzhou,24.3264,109.4281,China
Zhangjiakou,Zhangjiakou,40.7690,114.8860,China
Zhaoqing,Zhaoqing,23.0500,112.4667,China
Shijiazhuang,Shijiazhuang,38.0425,114.5100,China
Ningbo,Ningbo,29.8603,121.6245,China
Qiqihar,Qiqihar,47.3549,123.9182,China
Phoenix,Phoenix,33.5722,-112.0892,United States
Fuzhou,Fuzhou,27.9490,116.3580,China
Chifeng,Chifeng,42.2570,118.8880,China
Xiaoxita,Xiaoxita,30.6920,111.2870,China
Amman,Amman,31.9497,35.9328,Jordan
Chuzhou,Chuzhou,32.2560,118.3330,China
Linfen,Linfen,36.0880,111.5190,China
Qingyuan,Qingyuan,23.6820,113.0560,China
Xianyang,Xianyang,34.3299,108.7088,China
Loudi,Loudi,27.6998,111.9944,China
Binzhou,Binzhou,37.3830,117.9710,China
Zhuzhou,Zhuzhou,27.8290,113.1330,China
Taiyuan,Taiyuan,37.8704,112.5497,China
Nanning,Nanning,22.8167,108.3275,China
Harbin,Harbin,45.7576,126.6409,China
Abuja,Abuja,9.0667,7.4833,Nigeria
Yokohama,Yokohama,35.4442,139.6381,Japan
Suihua,Suihua,46.6540,126.9690,China
Zaozhuang,Zaozhuang,34.8109,117.3238,China
Detroit,Detroit,42.3834,-83.1024,United States
Xiamen,Xiamen,24.4796,118.0889,China
Neijiang,Neijiang,29.5802,105.0580,China
Montréal,Montreal,45.5089,-73.5617,Canada
Fuzhou,Fuzhou,26.0743,119.2964,China
Baicheng,Baicheng,23.9030,106.6190,China
Wuhu,Wuhu,31.3526,118.4331,China
Yulinshi,Yulinshi,38.2858,109.7341,China
Medan,Medan,3.5894,98.6739,Indonesia
Wenzhou,Wenzhou,27.9938,120.6993,China
Changzhou,Changzhou,31.8110,119.9740,China
Puyang,Puyang,35.7627,115.0292,China
Jiaozuo,Jiaozuo,35.2157,113.2419,China
Nanchang,Nanchang,28.6830,115.8580,China
Seattle,Seattle,47.6211,-122.3244,United States
Ibadan,Ibadan,7.3964,3.9167,Nigeria
Casablanca,Casablanca,33.5333,-7.5833,Morocco
Kumasi,Kumasi,6.7000,-1.6250,Ghana
Deyang,Deyang,31.1270,104.3980,China
Busan,Busan,35.1800,129.0750,"Korea, South"
Hohhot,Hohhot,40.8420,111.7490,China
Hechi,Hechi,24.6930,108.0850,China
Algiers,Algiers,36.7539,3.0589,Algeria
Tangshan,Tangshan,39.6294,118.1739,China
Shiyan,Shiyan,32.6290,110.7987,China
Lucknow,Lucknow,26.8500,80.9500,India
Mashhad,Mashhad,36.3264,59.5433,Iran
San Francisco,San Francisco,37.7558,-122.4449,United States
Boankra,Boankra,6.6944,-1.4028,Ghana
Dubai,Dubai,25.2631,55.2972,United Arab Emirates
Anshan,Anshan,41.1080,122.9940,China
Baojishi,Baojishi,34.3630,107.2380,China
Qinzhou,Qinzhou,21.9810,108.6540,China
Guiyang,Guiyang,26.6470,106.6300,China
Bengbu,Bengbu,32.9170,117.3890,China
Bazhou,Bazhou,31.8680,106.7480,China
Suining,Suining,30.5330,105.5930,China
Wuxi,Wuxi,31.4910,120.3120,China
Kotla Qasim Khan,Kotla Qasim Khan,32.5833,73.7500,Pakistan
Hanzhong,Hanzhong,33.0664,107.0232,China
Putian,Putian,25.4526,119.0078,China
Zhenjiang,Zhenjiang,32.1880,119.4240,China
Guang’an,Guang'an,30.4564,106.6326,China
Faisalabad,Faisalabad,31.4167,73.0911,Pakistan
Changzhi,Changzhi,36.1950,113.1170,China
Tongren,Tongren,27.7316,109.1895,China
Leshan,Leshan,29.5520,103.7660,China
Santa Cruz de la Sierra,Santa Cruz de la Sierra,-17.7892,-63.1975,Bolivia
Qinhuangdao,Qinhuangdao,39.8882,119.5202,China
Jaipur,Jaipur,26.9000,75.8000,India
Xinzhou,Xinzhou,38.4160,112.7340,China
Lanzhou,Lanzhou,36.0606,103.8268,China
Wuzhou,Wuzhou,23.4767,111.2790,China
Athens,Athens,37.9842,23.7281,Greece
San Diego,San Diego,32.8313,-117.1222,United States
Addis Ababa,Addis Ababa,9.0300,38.7400,Ethiopia
Taichung,Taichung,24.1439,120.6794,Taiwan
Huainan,Huainan,32.6314,117.0194,China
Guatemala City,Guatemala City,14.6133,-90.5353,Guatemala
Kuwait City,Kuwait City,29.3697,47.9783,Kuwait
Budapest,Budapest,47.4925,19.0514,Hungary
Qincheng,Qincheng,34.5809,105.7311,China
Rizhao,Rizhao,35.4170,119.5270,China
Quezon City,Quezon City,14.6500,121.0475,Philippines
Sanaa,Sanaa,15.3483,44.2064,Yemen
Tashkent,Tashkent,41.3111,69.2797,Uzbekistan
Kyiv,Kyiv,50.4500,30.5233,Ukraine
Meishan,Meishan,30.0771,103.8484,China
Incheon,Incheon,37.4833,126.6333,"Korea, South"
Birmingham,Birmingham,52.4800,-1.9025,United Kingdom
Ningde,Ningde,26.6662,119.5477,China
Zhongshan,Zhongshan,22.5170,113.3925,China
Weihai,Weihai,37.5133,122.1205,China
Bursa,Bursa,40.1833,29.0500,Turkey
Minneapolis,Minneapolis,44.9635,-93.2678,United States
Mbuji-Mayi,Mbuji-Mayi,-6.1500,23.6000,Congo (Kinshasa)
Haikou,Haikou,20.0186,110.3488,China
Tongliao,Tongliao,43.6540,122.2430,China
Chaoyang,Chaoyang,41.5710,120.4530,China
La Paz,La Paz,-16.4958,-68.1333,Bolivia
Pyongyang,Pyongyang,39.0167,125.7475,"Korea, North"
Tampa,Tampa,27.9945,-82.4447,United States
Shaoguan,Shaoguan,24.8110,113.5970,China
Heyuan,Heyuan,23.7443,114.7002,China
Brasília,Brasilia,-15.7939,-47.8828,Brazil
Omdurman,Omdurman,15.6500,32.4833,Sudan
Malang,Malang,-7.9800,112.6200,Indonesia
Stuttgart,Stuttgart,48.7775,9.1800,Germany
Daqing,Daqing,46.5890,125.1040,China
Rome,Rome,41.8933,12.4828,Italy
Brooklyn,Brooklyn,40.6501,-73.9496,United States
Kaohsiung,Kaohsiung,22.6150,120.2975,Taiwan
Xiangtan,Xiangtan,27.8313,112.9454,China
Longyan,Longyan,25.0760,117.0170,China
Baotou,Baotou,40.6213,109.9532,China
Handan,Handan,36.6010,114.4870,China
Jinzhou,Jinzhou,41.1290,121.1480,China
Kanpur,Kanpur,26.4499,80.3319,India
Denver,Denver,39.7620,-104.8758,United States
Nanping,Nanping,26.6418,118.1774,China
Gāzipura,Gazipura,23.9889,90.3750,Bangladesh
Shanwei,Shanwei,22.7872,115.3756,China
Chaozhou,Chaozhou,23.6580,116.6220,China
Guayaquil,Guayaquil,-2.1900,-79.8875,Ecuador
Weifang,Weifang,36.7080,119.1620,China
Huai’an,Huai'an,33.5510,119.1130,China
Zibo,Zibo,36.8138,118.0550,China
Ankang,Ankang,32.6854,109.0290,China
Mogadishu,Mogadishu,2.0392,45.3419,Somalia
Munich,Munich,48.1375,11.5750,Germany
Gulou,Gulou,26.0865,119.2980,China
Taipei,Taipei,25.0375,121.5625,Taiwan
Bekasi,Bekasi,-6.2349,106.9923,Indonesia
Damascus,Damascus,33.5131,36.2919,Syria
Sanming,Sanming,26.2634,117.6389,China
Yangjiang,Yangjiang,21.8570,111.9830,China
Jiamusi,Jiamusi,46.8000,130.3190,China
Luohe,Luohe,33.5830,114.0109,China
Medellín,Medellin,6.2308,-75.5906,Colombia
Dingxi,Dingxi,35.6080,104.5920,China
Shaoxing,Shaoxing,30.0511,120.5833,China
Yantai,Yantai,37.4646,121.4478,China
Huizhou,Huizhou,23.1120,114.4160,China
Lishui,Lishui,28.4680,119.9230,China
Xuanzhou,Xuanzhou,30.9390,118.7590,China
Khowrhesht,Khowrhesht,36.2050,49.6872,Iran
Mirzāpur,Mirzapur,25.1460,82.5690,India
Zigong,Zigong,29.3390,104.7790,China
Hamburg,Hamburg,53.5500,10.0000,Germany
Guangyuan,Guangyuan,32.4360,105.8440,China
Cali,Cali,3.4206,-76.5222,Colombia
Huangshi,Huangshi,30.2011,115.0390,China
Xining,Xining,36.6224,101.7804,China
Lusaka,Lusaka,-15.4167,28.2833,Zambia
Ouagadougou,Ouagadougou,12.3686,-1.5275,Burkina Faso
Yaoundé,Yaounde,3.8667,11.5167,Cameroon
Zhuhai,Zhuhai,22.2716,113.5769,China
Huludao,Huludao,40.7110,120.8370,China
Baoshan,Baoshan,25.1120,99.1610,China
Mecca,Mecca,21.4225,39.8233,Saudi Arabia
Vancouver,Vancouver,49.2500,-123.1000,Canada
Lianshan,Lianshan,40.7523,120.8280,China
Beirut,Beirut,33.8983,35.5057,Lebanon
Salvador,Salvador,-12.9747,-38.4767,Brazil
Bucharest,Bucharest,44.4325,26.1039,Romania
Longba,Longba,33.3702,104.9603,China
Nāgpur,Nagpur,21.1497,79.0806,India
Queens,Queens,40.7498,-73.7976,United States
Jilin,Jilin,43.8519,126.5481,China
Tieling,Tieling,42.2237,123.7260,China
Accra,Accra,5.5500,-0.2000,Ghana
Yunfu,Yunfu,22.9152,112.0445,China
Bekasi Kota,Bekasi Kota,-6.2333,107.0000,Indonesia
Daegu,Daegu,35.8717,128.6017,"Korea, South"
Ghāziābād,Ghaziabad,28.6700,77.4200,India
Luoyang,Luoyang,34.6197,112.4539,China
Brisbane,Brisbane,-27.4678,153.0281,Australia
Anshun,Anshun,26.2531,105.9476,China
Riverside,Riverside,33.9381,-117.3949,United States
Yingkou,Yingkou,40.6250,122.2190,China
Colombo,Colombo,6.9344,79.8428,Sri Lanka
Yanjiang,Yanjiang,30.1290,104.6270,China
Baku,Baku,40.3953,49.8822,Azerbaijan
Antananarivo,Antananarivo,-18.9100,47.5250,Madagascar
Mudanjiang,Mudanjiang,44.5514,129.6329,China
Fukuoka,Fukuoka,33.5900,130.4017,Japan
Yan’an,Yan'an,36.6500,109.4940,China
Jincheng,Jincheng,35.4910,112.8520,China
Nantong,Nantong,31.9810,120.8940,China
Lincang,Lincang,23.8840,100.0890,China
Yuxi,Yuxi,24.3470,102.5270,China
Las Vegas,Las Vegas,36.2333,-115.2654,United States
Caracas,Caracas,10.4806,-66.9036,Venezuela
Tangerang,Tangerang,-6.1703,106.6403,Indonesia
Laibin,Laibin,23.7501,109.2212,China
Konya,Konya,37.8667,32.4833,Turkey
Supaul,Supaul,26.1260,86.6050,India
Vienna,Vienna,48.2083,16.3725,Austria
Eşfahān,Esfahan,32.6447,51.6675,Iran
Baltimore,Baltimore,39.3051,-76.6144,United States
Shengli,Shengli,37.4340,118.6746,China
Dandong,Dandong,40.1167,124.3833,China
Qinbaling,Qinbaling,35.7278,107.6400,China
Gaoping,Gaoping,30.7824,106.1281,China
Awka,Awka,6.2069,7.0678,Nigeria
Taizhou,Taizhou,28.6557,121.4208,China
Ma’anshan,Ma'anshan,31.6690,118.5070,China
Harare,Harare,-17.8292,31.0522,Zimbabwe
Perth,Perth,-31.9559,115.8606,Australia
St. Louis,St. Louis,38.6359,-90.2451,United States
Phnom Penh,Phnom Penh,11.5694,104.9211,Cambodia
Depok,Depok,-6.3940,106.8225,Indonesia
Stockholm,Stockholm,59.3294,18.0686,Sweden
Puning,Puning,23.2980,116.1660,China
Huaibei,Huaibei,33.9560,116.7980,China
Kowloon,Kowloon,22.3167,114.1833,Hong Kong
Córdoba,Cordoba,-31.4167,-64.1833,Argentina
Haiphong,Haiphong,20.8651,106.6838,Vietnam
Zamboanga City,Zamboanga City,6.9042,122.0761,Philippines
Chongzuo,Chongzuo,22.3770,107.3650,China
Rawalpindi,Rawalpindi,33.6000,73.0333,Pakistan
Portland,Portland,45.5371,-122.6500,United States
Kano,Kano,12.0000,8.5167,Nigeria
Yushan,Yushan,31.3220,120.9850,China
Havana,Havana,23.1367,-82.3589,Cuba
Hezhou,Hezhou,24.4042,111.5672,China
Pingliang,Pingliang,35.5424,106.6649,China
Vadodara,Vadodara,22.3000,73.2000,India
Manaus,Manaus,-3.1189,-60.0217,Brazil
Qingyang,Qingyang,24.7816,118.5517,China
San Antonio,San Antonio,29.4632,-98.5238,United States
Rājkot,Rajkot,22.3000,70.7833,India
Shangzhou,Shangzhou,33.8680,109.9244,China
Vishākhapatnam,Vishakhapatnam,17.7042,83.2978,India
Sanmenxia,Sanmenxia,34.7732,111.2004,China
Baicheng,Baicheng,45.6200,122.8380,China
Gujranwala,Gujranwala,32.1567,74.1900,Pakistan
Aleppo,Aleppo,36.2000,37.1600,Syria
Tijuana,Tijuana,32.5250,-117.0333,Mexico
Bamenda,Bamenda,5.9614,10.1517,Cameroon
Minsk,Minsk,53.9000,27.5667,Belarus
Indore,Indore,22.7167,75.8472,India
Karaj,Karaj,35.8272,50.9489,Iran
Kananga,Kananga,-5.8970,22.4488,Congo (Kinshasa)
Peshawar,Peshawar,34.0144,71.5675,Pakistan
Sapporo,Sapporo,43.0619,141.3544,Japan
Sacramento,Sacramento,38.5677,-121.4685,United States
Tilburg,Tilburg,51.5500,5.0833,Netherlands
Pingxiang,Pingxiang,27.6590,113.8870,China
Ecatepec,Ecatepec,19.6097,-99.0600,Mexico
Almaty,Almaty,43.2400,76.9150,Kazakhstan
Austin,Austin,30.3005,-97.7522,United States
Yinchuan,Yinchuan,38.4850,106.2250,China
Santos,Santos,-23.9369,-46.3250,Brazil
Blantyre,Blantyre,-15.7861,35.0058,Malawi
Thāne,Thane,19.1972,72.9722,India
Orlando,Orlando,28.4773,-81.3370,United States
Tainan,Tainan,22.9833,120.1833,Taiwan
Xiping,Xiping,40.0820,113.2981,China
Multan,Multan,30.1978,71.4697,Pakistan
Santa Cruz,Santa Cruz,-17.8000,-63.1833,Bolivia
Port Harcourt,Port Harcourt,4.8242,7.0336,Nigeria
Jixi,Jixi,45.2950,130.9690,China
Fushun,Fushun,41.8810,123.9570,China
Warsaw,Warsaw,52.2300,21.0111,Poland
Beihai,Beihai,21.4810,109.1200,China
Fuxin,Fuxin,42.0220,121.6700,China
Wuwei,Wuwei,37.9290,102.6380,China
Siping,Siping,43.1668,124.3506,China
San Juan,San Juan,18.3985,-66.0610,Puerto Rico
Mersin,Mersin,36.8000,34.6333,Turkey
Bhopāl,Bhopal,23.2599,77.4126,India
Mosul,Mosul,36.3400,43.1300,Iraq
Lubumbashi,Lubumbashi,-11.6647,27.4794,Congo (Kinshasa)
Davao,Davao,7.0700,125.6000,Philippines
Curitiba,Curitiba,-25.4297,-49.2711,Brazil
San Jose,San Jose,37.3012,-121.8480,United States
Shuyangzha,Shuyangzha,34.1299,118.7734,China
Adana,Adana,37.0000,35.3213,Turkey
Quito,Quito,-0.2200,-78.5125,Ecuador
Pittsburgh,Pittsburgh,40.4397,-79.9763,United States
Brazzaville,Brazzaville,-4.2694,15.2711,Congo (Brazzaville)
Hyderabad City,Hyderabad City,25.3792,68.3683,Pakistan
Diyarbakır,Diyarbakir,37.9100,40.2400,Turkey
Indianapolis,Indianapolis,39.7771,-86.1458,United States
Pimpri-Chinchwad,Pimpri-Chinchwad,18.6186,73.8037,India
Masqaţ,Masqat,23.5889,58.4083,Oman
Montevideo,Montevideo,-34.8836,-56.1819,Uruguay
Shuozhou,Shuozhou,39.3317,112.4329,China
Manhattan,Manhattan,40.7834,-73.9662,United States
Cincinnati,Cincinnati,39.1413,-84.5060,United States
Kansas City,Kansas City,39.1238,-94.5541,United States
Patna,Patna,25.5940,85.1376,India
Tegucigalpa,Tegucigalpa,14.1058,-87.2047,Honduras
Kampala,Kampala,0.3136,32.5811,Uganda
Cleveland,Cleveland,41.4764,-81.6805,United States
Sanzhou,Sanzhou,30.8200,108.4000,China
Changshu,Changshu,31.6560,120.7530,China
Heihe,Heihe,50.2401,127.5210,China
Conakry,Conakry,9.5092,-13.7122,Guinea
Ximeicun,Ximeicun,24.9612,118.3849,China
Caloocan City,Caloocan City,14.6500,120.9700,Philippines
Masvingo,Masvingo,-20.0744,30.8328,Zimbabwe
Zhongli,Zhongli,24.9650,121.2168,Taiwan
Novosibirsk,Novosibirsk,55.0500,82.9500,Russia
Bilāspur,Bilaspur,22.0900,82.1500,India
Semarang,Semarang,-6.9900,110.4225,Indonesia
Jingdezhen,Jingdezhen,29.2917,117.1986,China
Ludhiāna,Ludhiana,30.9100,75.8500,India
Liaoyang,Liaoyang,41.2790,123.1760,China
Chengtangcun,Chengtangcun,35.0833,117.1500,China
Rājshāhi,Rajshahi,24.3667,88.6000,Bangladesh
Balandougou,Balandougou,13.3558,-9.5517,Mali
Jiangyin,Jiangyin,31.8390,120.2950,China
Valencia,Valencia,39.4700,-0.3764,Spain
Āgra,Agra,27.1800,78.0200,India
León de los Aldama,Leon de los Aldama,21.1167,-101.6833,Mexico
Puebla,Puebla,19.0333,-98.1833,Mexico
Columbus,Columbus,39.9862,-82.9855,United States
Yopougon,Yopougon,5.3167,-4.0667,Côte d’Ivoire
Hebi,Hebi,35.7480,114.2970,China
Shīrāz,Shiraz,29.6100,52.5425,Iran
Madurai,Madurai,9.9252,78.1198,India
Huzhou,Huzhou,30.8925,120.0875,China
Tabrīz,Tabriz,38.0814,46.3006,Iran
Jamshedpur,Jamshedpur,22.7925,86.1842,India
Maracaibo,Maracaibo,10.6333,-71.6333,Venezuela
Sofia,Sofia,42.7000,23.3300,Bulgaria
San José,San Jose,9.9325,-84.0800,Costa Rica
Prayagraj,Prayagraj,25.4358,81.8464,India
Palembang,Palembang,-2.9861,104.7556,Indonesia
Kawasaki,Kawasaki,35.5167,139.7000,Japan
Kōbe,Kobe,34.6900,135.1956,Japan
Jiaxing,Jiaxing,30.7470,120.7560,China
Kigali,Kigali,-1.9439,30.0594,Rwanda
Zhangjiajie,Zhangjiajie,29.1170,110.4790,China
Baiyin,Baiyin,36.5451,104.1389,China
Guiping,Guiping,23.4000,110.0833,China
Lianjiang,Lianjiang,21.7333,110.2833,China
Jianguang,Jianguang,28.1958,115.7833,China
Yucheng,Yucheng,30.0100,103.0415,China
Xushan,Xushan,30.1667,121.2333,China
Panama City,Panama City,8.9833,-79.5167,Panama
Nneyi-Umuleri,Nneyi-Umuleri,6.3333,6.8333,Nigeria
Leizhou,Leizhou,20.9143,110.0967,China
Gwangju,Gwangju,35.1653,126.8486,"Korea, South"
Katako-Kombe,Katako-Kombe,-3.4000,24.4200,Congo (Kinshasa)
Recife,Recife,-8.0500,-34.9000,Brazil
Nāsik,Nasik,19.9975,73.7898,India
Valencia,Valencia,10.1833,-68.0000,Venezuela
Onitsha,Onitsha,6.1667,6.7833,Nigeria
Abu Dhabi,Abu Dhabi,24.4667,54.3667,United Arab Emirates
Zapopan,Zapopan,20.7167,-103.4000,Mexico
Daejeon,Daejeon,36.3500,127.3850,"Korea, South"
Bronx,Bronx,40.8501,-73.8662,United States
Yekaterinburg,Yekaterinburg,56.8356,60.6128,Russia
Huazhou,Huazhou,32.6880,112.0870,China
Jinhua,Jinhua,29.0790,119.6470,China
Kyōto,Kyoto,35.0117,135.7683,Japan
Amsterdam,Amsterdam,52.3728,4.8936,Netherlands
Pizhou,Pizhou,34.3980,117.8900,China
Kismaayo,Kismaayo,-0.3581,42.5453,Somalia
Yangshe,Yangshe,31.8767,120.5560,China
